Followers,Name,Team,Nationality,
"239,120",Christian Braun,Denver Nuggets,United States,
"234,048",Evan Mobley,Cleveland Cavaliers,United States,
"232,382",Anfernee Simons,Portland Trail Blazers,United States,
"231,852",Taurean Prince,Los Angeles Lakers,United States,
"229,540",Jaden Ivey,Detroit Pistons,United States,
"228,574",Frank Ntilikina,Charlotte Hornets,Belgium / France,
"227,928",Ayo Dosunmu,Chicago Bulls,United States,
"225,318",MarJon Beauchamp,Milwaukee Bucks,United States,
"223,888",K.J. Martin,Los Angeles Clippers,United States,
"223,202",Deni Avdija,Washington Wizards,Israel,
"220,976",Cam Thomas,Brooklyn Nets,United States,
"220,385",OG Anunoby,Toronto Raptors,England / United States,
"219,970","Jaime Jaquez, Jr.",Miami Heat,United States,
"212,230",Reggie Jackson,Denver Nuggets,Italy / United States,
"211,985",Luke Kennard,Memphis Grizzlies,United States,
"211,413",Jerami Grant,Portland Trail Blazers,United States,
"211,312",Moses Moody,Golden State Warriors,United States,
"209,542",Shaedon Sharpe,Portland Trail Blazers,Canada,
"208,912",Wesley Matthews,Atlanta Hawks,United States,
"207,712",John Collins,Utah Jazz,United States,
"205,340",Moe Wagner,Orlando Magic,Germany,
"201,365",Nikola Jovic,Miami Heat,Serbia,
"199,724",Lester Quinones,Santa Cruz Warriors,United States / Dominican Republic,
"199,425",Malik Beasley,Milwaukee Bucks,United States,
"198,874",Dillon Brooks,Houston Rockets,Canada,
"198,419",Dante Exum,Dallas Mavericks,Australia,
"198,285",Quentin Grimes,New York Knicks,United States,
"198,197",Monte Morris,Detroit Pistons,United States / Nigeria,
"194,394",Reggie Bullock,San Antonio Spurs,United States,
"194,024",Davion Mitchell,Sacramento Kings,United States,
"188,596",Luguentz Dort,Oklahoma City Thunder,Canada,
"183,952",Daniel Theis,Indiana Pacers,Germany,
"183,718",Pat Connaughton,Milwaukee Bucks,United States,
"183,505",Derrick Rose,Memphis Grizzlies,United States,
"182,598",Tre Mann,Oklahoma City Thunder,United States,
"181,913",Brandon Miller,Charlotte Hornets,United States,
"181,707",Nassir Little,Phoenix Suns,United States,
"181,670",Max Christie,Los Angeles Lakers,United States,
"178,669",Onyeka Okongwu,Atlanta Hawks,United States,
"177,859",Cory Joseph,Golden State Warriors,Canada,
"176,826",Precious Achiuwa,Toronto Raptors,Nigeria,
"175,855",Isaac Okoro,Cleveland Cavaliers,United States,
"175,672",Josh Green,Dallas Mavericks,United States / Australia,
"175,572",Bennedict Mathurin,Indiana Pacers,Canada / Haiti,
"175,301","Jabari Smith, Jr.",Houston Rockets,United States,
"175,148",Jaden Springer,Philadelphia Sixers,United States,
"172,633",Malcolm Brogdon,Portland Trail Blazers,United States,
"172,196",Kelly Olynyk,Utah Jazz,Canada,
"169,739","Wendell Carter, Jr.",Orlando Magic,United States,
"166,417",Kyle Anderson,Minnesota Timberwolves,United States / China,
"163,799",Nicolas Claxton,Brooklyn Nets,United States / U.S. Virgin Islands,
"162,534",Keldon Johnson,San Antonio Spurs,United States,
